"Name","epoch/val_categorical_accuracy (Max)","Notes","Runtime","CACHEING","DELTA","ROTATE_LIMIT","SCALE_LIMIT","SHIFT_LIMIT","TAU","T_max","decay","epochs","max_lr","min_lr","scheduler","train_size","unique_classes","val_size","video_length","epoch/categorical_accuracy","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/val_loss"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","332","","40","15","0.1","0.1","195","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7749999761581421","29","0.00002519240115361754","0.5281862020492554","4.17849063873291"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.6499999761581421","Model summary : 
None","331","","67","15","0.1","0.1","208","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.6812499761581421","29","0.00002519240115361754","0.6226136088371277","4.032293796539307"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","328","","82","10","0.05","0.1","173","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","35","0.887499988079071","29","0.00002519240115361754","0.2527989447116852","2.732459306716919"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","264","","114","15","0.1","0.1","191","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.668749988079071","29","0.00002519240115361754","0.6199809908866882","2.068242073059082"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","264","","80","15","0.1","0.1","147","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7250000238418579","29","0.00002519240115361754","0.5906652808189392","3.879909038543701"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","207","","121","15","0.1","0.1","219","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.65625","29","0.00002519240115361754","0.6452420949935913","1.3093302249908447"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","323","","108","15","0.1","0.1","186","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.6875","29","0.00002519240115361754","0.5813973546028137","1.0416414737701416"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","216","","39","15","0.1","0.1","41","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.6625000238418579","29","0.00002519240115361754","0.6490030884742737","6.997666358947754"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","385","","225","15","0.1","0.1","255","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.6812499761581421","29","0.00002519240115361754","0.6093232035636902","1.6541656255722046"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","272","","118","15","0.1","0.1","177","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7437499761581421","29","0.00002519240115361754","0.5323362946510315","5.928666114807129"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","273","","57","15","0.1","0.1","201","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.737500011920929","29","0.00002519240115361754","0.5099452137947083","2.166421890258789"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","274","","47","15","0.1","0.1","141","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.75","29","0.00002519240115361754","0.5534860491752625","1.468894362449646"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.6499999761581421","Model summary : 
None","216","","211","15","0.1","0.1","230","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.6875","29","0.00002519240115361754","0.5886805653572083","5.465514183044434"
